uid,response_no,unix_time,response
user3,13,1610512740340,"{""phase"": ""TEST"", ""expr"": ""E004_CW"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 3652}"
user3,14,1610512744380,"{""phase"": ""TEST"", ""expr"": ""E088_real"", ""c1_confidence"": 4, ""c2_confidence"": 1, ""rt"": 4035}"
user3,15,1610512748660,"{""phase"": ""TEST"", ""expr"": ""E031_real"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4273}"
user3,16,1610512754970,"{""phase"": ""TEST"", ""expr"": ""E098_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6304}"
user3,17,1610512759587,"{""phase"": ""TEST"", ""expr"": ""E085_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 4611}"
user3,18,1610512764457,"{""phase"": ""TEST"", ""expr"": ""E019_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4863}"
user3,19,1610512768665,"{""phase"": ""TEST"", ""expr"": ""E051_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4203}"
user3,20,1610512775184,"{""phase"": ""TEST"", ""expr"": ""E010_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 1, ""rt"": 6513}"
user3,21,1610512778823,"{""phase"": ""TEST"", ""expr"": ""E073_CW"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 3634}"
user3,22,1610512782863,"{""phase"": ""TEST"", ""expr"": ""E029_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4035}"
user3,23,1610512788573,"{""phase"": ""TEST"", ""expr"": ""E012_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 5705}"
user3,24,1610512791979,"{""phase"": ""TEST"", ""expr"": ""E099_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 3401}"
user3,25,1610512797490,"{""phase"": ""TEST"", ""expr"": ""E058_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5506}"
user3,26,1610512801528,"{""phase"": ""TEST"", ""expr"": ""E069_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 4031}"
user3,27,1610512805415,"{""phase"": ""TEST"", ""expr"": ""E097_CW"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 3881}"
