uid,response_no,unix_time,response
user2,22,1611026446997,"{""phase"": ""TEST"", ""expr"": ""E049_real"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 2147}"
user2,23,1611026450854,"{""phase"": ""TEST"", ""expr"": ""E010_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 3854}"
user2,24,1611026453166,"{""phase"": ""TEST"", ""expr"": ""E058_CW"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 2307}"
user2,25,1611026458454,"{""phase"": ""TEST"", ""expr"": ""E039_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 0, ""rt"": 5285}"
user2,26,1611026460406,"{""phase"": ""TEST"", ""expr"": ""E095_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 3, ""rt"": 1949}"
user2,27,1611026462078,"{""phase"": ""TEST"", ""expr"": ""E054_CW"", ""c1_confidence"": 3, ""c2_confidence"": 4, ""rt"": 1667}"
user2,28,1611026465526,"{""phase"": ""TEST"", ""expr"": ""E007_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 3445}"
user2,29,1611026470623,"{""phase"": ""TEST"", ""expr"": ""E051_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 0, ""rt"": 5094}"
user2,30,1611026474598,"{""phase"": ""TEST"", ""expr"": ""E028_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 3972}"
user2,31,1611026476726,"{""phase"": ""TEST"", ""expr"": ""E032_CW"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 2122}"
user2,32,1611026478535,"{""phase"": ""TEST"", ""expr"": ""E087_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 1, ""rt"": 1805}"
user2,33,1611026480327,"{""phase"": ""TEST"", ""expr"": ""E062_CW"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 1784}"
user2,34,1611026482343,"{""phase"": ""TEST"", ""expr"": ""E059_real"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 2012}"
user3,2,1611026349512,"{""phase"": ""TEST"", ""expr"": ""E044_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 4465}"
user3,3,1611026353887,"{""phase"": ""TEST"", ""expr"": ""E036_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 4, ""rt"": 4341}"
user3,4,1611026360776,"{""phase"": ""TEST"", ""expr"": ""E085_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 6881}"
user3,5,1611026375853,"{""phase"": ""TEST"", ""expr"": ""E059_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 15071}"
user3,6,1611026384515,"{""phase"": ""TEST"", ""expr"": ""E080_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 8662}"
user3,7,1611026391718,"{""phase"": ""TEST"", ""expr"": ""E065_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 7194}"
user3,8,1611026414109,"{""phase"": ""TEST"", ""expr"": ""E001_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 22391}"
user3,9,1611026417130,"{""phase"": ""TEST"", ""expr"": ""E015_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 2, ""rt"": 3014}"
